Count - point,direction,point,,,,,,,,,,,,,,,,,,,,,,
,c,,,,cc,,,,Total Result,c,c,c,c,cc,cc,cc,cc,totals,totals,totals,totals,totals,totals,
country,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,c,cc,country
NP,,8,,,,22,,,30,0.00%,26.67%,0.00%,0.00%,0.00%,73.33%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,26.67%,73.33%,NP
TN,5,8,,1,,12,,3,29,17.24%,27.59%,0.00%,3.45%,0.00%,41.38%,0.00%,10.34%,17.24%,68.97%,0.00%,13.79%,48.28%,51.72%,TN
AL,1,1,,,,26,,,28,3.57%,3.57%,0.00%,0.00%,0.00%,92.86%,0.00%,0.00%,3.57%,96.43%,0.00%,0.00%,7.14%,92.86%,AL
CY,,7,,,,17,,3,27,0.00%,25.93%,0.00%,0.00%,0.00%,62.96%,0.00%,11.11%,0.00%,88.89%,0.00%,11.11%,25.93%,74.07%,CY
LU,4,3,,,,19,,1,27,14.81%,11.11%,0.00%,0.00%,0.00%,70.37%,0.00%,3.70%,14.81%,81.48%,0.00%,3.70%,25.93%,74.07%,LU
PS,,7,,4,,2,,14,27,0.00%,25.93%,0.00%,14.81%,0.00%,7.41%,0.00%,51.85%,0.00%,33.33%,0.00%,66.67%,40.74%,59.26%,PS
DO,4,5,,,,11,,3,23,17.39%,21.74%,0.00%,0.00%,0.00%,47.83%,0.00%,13.04%,17.39%,69.57%,0.00%,13.04%,39.13%,60.87%,DO
GU,1,7,,,,14,,1,23,4.35%,30.43%,0.00%,0.00%,0.00%,60.87%,0.00%,4.35%,4.35%,91.30%,0.00%,4.35%,34.78%,65.22%,GU
ME,,4,,,,19,,,23,0.00%,17.39%,0.00%,0.00%,0.00%,82.61%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,17.39%,82.61%,ME
TT,,3,,1,,17,,1,22,0.00%,13.64%,0.00%,4.55%,0.00%,77.27%,0.00%,4.55%,0.00%,90.91%,0.00%,9.09%,18.18%,81.82%,TT
CR,,5,,,1,12,,2,20,0.00%,25.00%,0.00%,0.00%,5.00%,60.00%,0.00%,10.00%,5.00%,85.00%,0.00%,10.00%,25.00%,75.00%,CR
KE,,8,,,,11,,1,20,0.00%,40.00%,0.00%,0.00%,0.00%,55.00%,0.00%,5.00%,0.00%,95.00%,0.00%,5.00%,40.00%,60.00%,KE
UY,2,1,,1,,13,,,17,11.76%,5.88%,0.00%,5.88%,0.00%,76.47%,0.00%,0.00%,11.76%,82.35%,0.00%,5.88%,23.53%,76.47%,UY
AM,1,4,,,,9,,2,16,6.25%,25.00%,0.00%,0.00%,0.00%,56.25%,0.00%,12.50%,6.25%,81.25%,0.00%,12.50%,31.25%,68.75%,AM
GT,,2,,,1,12,,1,16,0.00%,12.50%,0.00%,0.00%,6.25%,75.00%,0.00%,6.25%,6.25%,87.50%,0.00%,6.25%,12.50%,87.50%,GT
JM,,2,,,,13,,1,16,0.00%,12.50%,0.00%,0.00%,0.00%,81.25%,0.00%,6.25%,0.00%,93.75%,0.00%,6.25%,12.50%,87.50%,JM
PA,1,,,,,15,,,16,6.25%,0.00%,0.00%,0.00%,0.00%,93.75%,0.00%,0.00%,6.25%,93.75%,0.00%,0.00%,6.25%,93.75%,PA
HN,1,2,,,,12,,,15,6.67%,13.33%,0.00%,0.00%,0.00%,80.00%,0.00%,0.00%,6.67%,93.33%,0.00%,0.00%,20.00%,80.00%,HN
RE,1,2,,,,12,,,15,6.67%,13.33%,0.00%,0.00%,0.00%,80.00%,0.00%,0.00%,6.67%,93.33%,0.00%,0.00%,20.00%,80.00%,RE
JE,,3,,,,10,,1,14,0.00%,21.43%,0.00%,0.00%,0.00%,71.43%,0.00%,7.14%,0.00%,92.86%,0.00%,7.14%,21.43%,78.57%,JE
IM,1,2,,,,9,,1,13,7.69%,15.38%,0.00%,0.00%,0.00%,69.23%,0.00%,7.69%,7.69%,84.62%,0.00%,7.69%,23.08%,76.92%,IM
KG,,,,,,13,,,13,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,KG
AZ,1,2,,,,9,,,12,8.33%,16.67%,0.00%,0.00%,0.00%,75.00%,0.00%,0.00%,8.33%,91.67%,0.00%,0.00%,25.00%,75.00%,AZ
BO,,4,,,,7,,1,12,0.00%,33.33%,0.00%,0.00%,0.00%,58.33%,0.00%,8.33%,0.00%,91.67%,0.00%,8.33%,33.33%,66.67%,BO
MV,2,5,,,,2,,3,12,16.67%,41.67%,0.00%,0.00%,0.00%,16.67%,0.00%,25.00%,16.67%,58.33%,0.00%,25.00%,58.33%,41.67%,MV
MU,1,2,,,,8,,,11,9.09%,18.18%,0.00%,0.00%,0.00%,72.73%,0.00%,0.00%,9.09%,90.91%,0.00%,0.00%,27.27%,72.73%,MU
SV,,1,,,,9,,,10,0.00%,10.00%,0.00%,0.00%,0.00%,90.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,10.00%,90.00%,SV
BS,,3,,,,6,,,9,0.00%,33.33%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,33.33%,66.67%,BS
PY,,3,,,,6,,,9,0.00%,33.33%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,33.33%,66.67%,PY
FO,,,,1,,6,,1,8,0.00%,0.00%,0.00%,12.50%,0.00%,75.00%,0.00%,12.50%,0.00%,75.00%,0.00%,25.00%,12.50%,87.50%,FO
MN,,2,,1,,5,,,8,0.00%,25.00%,0.00%,12.50%,0.00%,62.50%,0.00%,0.00%,0.00%,87.50%,0.00%,12.50%,37.50%,62.50%,MN
MO,,3,,,,5,,,8,0.00%,37.50%,0.00%,0.00%,0.00%,62.50%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,37.50%,62.50%,MO
GG,,,,,,6,,1,7,0.00%,0.00%,0.00%,0.00%,0.00%,85.71%,0.00%,14.29%,0.00%,85.71%,0.00%,14.29%,0.00%,100.00%,GG
LK,,3,,,,1,,3,7,0.00%,42.86%,0.00%,0.00%,0.00%,14.29%,0.00%,42.86%,0.00%,57.14%,0.00%,42.86%,42.86%,57.14%,LK
MP,,1,,,,6,,,7,0.00%,14.29%,0.00%,0.00%,0.00%,85.71%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,14.29%,85.71%,MP
UZ,,1,,,,6,,,7,0.00%,14.29%,0.00%,0.00%,0.00%,85.71%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,14.29%,85.71%,UZ
BM,,2,,,,3,,1,6,0.00%,33.33%,0.00%,0.00%,0.00%,50.00%,0.00%,16.67%,0.00%,83.33%,0.00%,16.67%,33.33%,66.67%,BM
CW,,2,,,,4,,,6,0.00%,33.33%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,33.33%,66.67%,CW
KY,,1,,,,5,,,6,0.00%,16.67%,0.00%,0.00%,0.00%,83.33%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,16.67%,83.33%,KY
NA,1,,,,,4,,1,6,16.67%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,16.67%,16.67%,66.67%,0.00%,16.67%,16.67%,83.33%,NA
NI,,2,,,,2,,1,5,0.00%,40.00%,0.00%,0.00%,0.00%,40.00%,0.00%,20.00%,0.00%,80.00%,0.00%,20.00%,40.00%,60.00%,NI
SR,,1,,,,4,,,5,0.00%,20.00%,0.00%,0.00%,0.00%,80.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,20.00%,80.00%,SR
BZ,,,,,,4,,,4,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,BZ
